#time, gyroX[]
263.669,0.00852212
263.774,0.0276969
263.879,0.00213053
263.984,0.0671117
264.089,0.157659
264.194,0.158724
264.299,0.00213053
264.404,0.0639159
264.509,-0.0181095
264.614,0.02024
264.719,0.0479369
264.824,0.052198
264.929,0.0596548
265.034,0.0958738
265.139,0.0511327
265.244,0.0468716
265.349,-0.00106526
265.454,0.0468716
265.559,0.0809601
265.664,0.0458064
265.769,0.0223706
265.874,0.0234358
265.979,-0.036219
266.084,0.0330232
266.189,0.0117179
266.294,0.0394148
266.399,0.0106526
266.504,0.0298274
266.609,0.0713727
266.714,0.0138484
266.819,0.0330232
266.924,0.00532632
267.029,0.131028
267.134,0.0266316
267.239,0.111853
267.344,-0.02024
267.449,-0.0798948
267.554,0.0735032
267.659,0.0852212
267.764,0.0223706
267.869,-0.0873517
267.974,0.0255663
268.079,0.142745
268.184,0.0809601
268.289,0.0213053
268.394,-0.0383495
268.499,0.076699
268.604,0.02024
268.709,0.0234358
268.814,0.0585895
268.919,0.0426106
269.024,0.0340885
269.129,0.0351537
269.234,0.0330232
269.339,0.0319579
269.444,0.0330232
269.549,0.0308927
269.654,0.0319579
269.759,0.0330232
269.864,0.0298274
269.969,0.0170442
270.074,0.0308927
270.179,0.0447411
270.284,0.0340885
270.389,0.0245011
270.494,0.0319579
270.599,0.0138484
270.704,0.0170442
270.809,0.0266316
270.914,0.0340885
271.019,0.04048
271.124,0.0458064
271.229,0.0500674
271.334,0.076699
271.439,0.04048
271.544,0.0660464
271.649,0.0553938
271.754,0.0255663
271.859,0.0255663
271.964,0.0276969
272.069,0.036219
272.174,0.0298274
272.279,0.0319579
272.384,0.0245011
272.489,0.0287621
272.594,0.0276969
272.699,0.0298274
272.804,0.0298274
272.909,0.0330232
273.014,0.0340885
273.119,0.0330232
273.224,0.0340885
273.329,0.0340885
273.434,0.0351537
273.539,0.0330232
273.644,0.0330232
273.749,0.0298274
273.854,0.0330232
273.959,0.0308927
274.064,0.0319579
274.169,0.0287621
274.274,0.0308927
274.379,0.0308927
