#time, gyroZ[]
223.769,-0.00106526
223.874,0
223.979,0.00213053
224.084,0.00106526
224.189,0
224.294,0
224.399,0
224.504,-0.00106526
224.609,0
224.714,0
224.819,0
224.924,-0.00213053
225.029,0
225.134,0
225.239,-0.00213053
225.344,0.00852212
225.449,0.0298274
225.554,0.00106526
225.659,0.00639159
225.764,0
225.869,0.00106526
225.974,0.00106526
226.079,0.00213053
226.184,-0.00745685
226.289,-0.00745685
226.394,0
226.499,-0.00213053
226.604,-0.00213053
226.709,-0.00106526
226.814,-0.00106526
226.919,0
227.024,0.00213053
227.129,0
227.234,0
227.339,0
227.444,-0.00106526
227.549,-0.00106526
227.654,-0.00106526
227.759,0
227.864,0
227.969,-0.00106526
228.074,-0.00319579
228.179,0.00426106
228.284,0.00958738
228.389,0.00852212
228.494,-0.00319579
228.599,-0.0106526
228.704,-0.00319579
228.809,-0.00213053
228.914,-0.00426106
229.019,0
229.124,0.00106526
229.229,0.00319579
229.334,-0.00106526
229.439,-0.00106526
229.544,0.00319579
229.649,0.00213053
229.754,-0.00319579
229.859,0
229.964,-0.00106526
230.069,0.00106526
230.174,-0.00213053
230.279,-0.00426106
230.384,-0.00213053
230.489,0
230.594,-0.00106526
230.699,0
230.804,-0.00106526
230.909,0
231.014,0
231.119,0
231.224,0.00106526
231.329,0.00106526
231.434,0.00532632
231.539,0.0138484
231.644,-0.16192
231.749,-0.187487
231.854,-0.127832
231.959,-0.0884169
232.064,0.0266316
232.169,-0.0830906
232.274,-0.0276969
232.379,-0.0894822
232.484,-0.128897
232.589,-0.155529
232.694,-0.174703
232.799,-0.124636
232.904,-0.0468716
233.009,-0.00426106
233.114,-0.0117179
233.219,-0.0170442
233.324,-0.0181095
233.429,-0.0298274
233.534,-0.00213053
233.639,-0.0213053
233.744,-0.00426106
233.849,-0.00213053
233.954,-0.00852212
234.059,0.00426106
234.164,-0.00426106
234.269,0.00213053
234.374,-0.00319579
234.479,0.0149137
234.584,0.0213053
234.689,0.00745685
234.794,0.0106526
234.899,0.0149137
235.004,0.00319579
235.109,0.00426106
235.214,0.00319579
235.319,0.00532632
235.424,0.00852212
235.529,-0.00106526
235.634,0
235.739,0.00639159
235.844,0
235.949,-0.00532632
236.054,-0.00532632
236.159,-0.00639159
236.264,0.00106526
236.369,-0.00213053
236.474,0.00319579
236.579,0.00106526
236.684,0
236.789,0.0170442
236.894,0.00852212
236.999,0.00426106
