#time, Temp[]
125.805,0.62
125.905,0.62
126.005,0.62
126.105,0.62
126.205,0.62
126.305,0.62
126.405,0.62
126.505,0.62
126.605,0.62
126.705,0.62
126.805,0.62
126.905,0.62
127.005,0.62
127.105,0.62
127.205,0.62
127.305,0.62
127.405,0.62
127.505,0.62
127.605,0.62
127.705,0.62
127.805,0.62
127.905,0.62
128.005,0.62
128.105,0.62
128.205,0.62
128.305,0.62
128.405,0.62
128.505,0.62
128.605,0.62
128.705,0.62
128.805,0.62
128.905,0.62
129.005,0.62
129.105,0.62
129.205,0.62
129.306,0.62
129.405,0.62
129.505,0.62
129.605,0.62
129.705,0.62
129.805,0.62
129.906,0.62
130.005,0.62
130.105,0.62
130.205,0.62
130.305,0.62
130.405,0.62
130.505,0.62
130.605,0.62
130.706,0.62
130.805,0.62
130.905,0.62
131.005,0.62
131.106,0.62
131.205,0.62
131.305,0.62
131.405,0.62
131.505,0.62
131.605,0.62
131.705,0.62
131.805,0.62
131.905,0.62
132.005,0.62
132.105,0.62
132.205,0.62
132.305,0.62
132.405,0.62
132.505,0.62
132.605,0.62
132.705,0.62
132.805,0.62
132.905,0.62
133.005,0.62
133.105,0.62
133.205,0.62
133.305,0.62
133.405,0.62
133.505,0.62
133.605,0.62
133.705,0.62
133.805,0.62
133.905,0.62
134.005,0.62
134.105,0.62
134.205,0.62
134.305,0.62
134.405,0.62
134.505,0.62
134.607,0.62
134.705,0.62
134.805,0.62
134.905,0.62
135.005,0.62
135.105,0.62
135.207,0.62
135.305,0.62
135.405,0.62
135.505,0.62
135.605,0.62
135.705,0.62
135.805,0.62
135.905,0.62
136.005,0.62
136.105,0.62
136.205,0.62
136.305,0.62
136.405,0.62
136.505,0.62
136.605,0.62
136.705,0.62
136.805,0.62
136.905,0.62
137.005,0.62
137.105,0.62
137.205,0.62
137.305,0.62
137.405,0.62
137.505,0.62
137.605,0.62
137.705,0.62
137.805,0.62
137.905,0.62
138.007,0.62
138.105,0.62
138.205,0.62
138.305,0.62
138.407,0.62
138.505,0.62
138.605,0.62
138.705,0.62
138.805,0.62
138.905,0.62
139.005,0.62
139.105,0.62
139.205,0.62
139.305,0.62
139.405,0.62
139.505,0.62
139.607,0.62
139.705,0.62
139.805,0.62
139.905,0.62
140.005,0.62
140.105,0.62
140.205,0.62
140.305,0.62
140.405,0.62
140.505,0.62
140.605,0.62
140.705,0.62
140.805,0.62
140.905,0.62
141.005,0.62
141.105,0.62
141.205,0.62
141.305,0.62
141.405,0.62
141.505,0.62
141.605,0.62
141.705,0.62
141.805,0.62
141.905,0.62
142.006,0.62
142.105,0.62
142.205,0.62
142.305,0.62
142.405,0.62
142.505,0.62
142.605,0.62
142.705,0.62
142.805,0.62
142.905,0.62
143.005,0.62
143.105,0.62
143.205,0.62
143.305,0.62
143.405,0.62
143.505,0.62
143.605,0.62
143.706,0.62
143.806,0.62
143.905,0.62
144.005,0.62
144.105,0.62
144.205,0.62
144.305,0.62
144.405,0.62
144.505,0.62
144.605,0.62
144.705,0.62
144.807,0.62
144.905,0.62
145.005,0.62
145.105,0.62
145.205,0.62
145.305,0.62
145.405,0.62
145.505,0.62
145.605,0.62
145.706,0.62
145.805,0.62
145.905,0.62
146.007,0.62
146.105,0.62
146.205,0.62
146.305,0.62
146.405,0.62
146.505,0.62
146.607,0.62
146.705,0.62
146.805,0.62
146.905,0.62
147.005,0.62
147.105,0.62
147.205,0.62
147.305,0.62
147.405,0.62
147.505,0.62
147.605,0.62
147.705,0.62
147.805,0.62
147.905,0.62
148.005,0.62
148.105,0.62
148.205,0.62
148.305,0.62
148.405,0.62
148.505,0.62
148.605,0.62
148.705,0.62
148.805,0.62
148.905,0.62
149.005,0.62
149.105,0.62
149.205,0.62
149.305,0.62
149.405,0.62
149.505,0.62
149.605,0.62
149.705,0.62
149.805,0.62
149.905,0.62
150.005,0.62
150.105,0.62
150.205,0.62
150.305,0.62
150.405,0.62
150.505,0.62
150.605,0.62
150.705,0.62
150.805,0.62
150.905,0.62
151.005,0.62
151.105,0.62
151.205,0.62
151.305,0.62
151.405,0.62
151.505,0.62
151.605,0.62
151.705,0.62
151.805,0.62
151.905,0.62
