#time, GyrX[]
465.505,0.00116315
465.524,0.00854364
465.544,0.00422202
465.564,0.00204219
465.585,0.00485945
465.605,0.00504331
465.626,0.00523413
465.644,0.00364083
465.664,0.00472806
465.684,0.00282682
465.705,0.00369328
465.724,0.00354825
465.744,0.00530213
465.764,0.00123346
465.785,0.00556827
465.805,0.00351312
465.826,0.00908593
465.844,0.00352648
465.864,0.00173509
465.884,0.00289329
465.905,0.00492263
465.925,0.00177021
465.944,0.00156775
465.964,0.00567172
465.984,0.00413275
466.005,0.00151708
466.026,0.00478192
466.044,0.00354012
466.064,0.000462297
466.085,0.0042116
466.105,0.0048084
466.124,0.00271677
466.144,0.00719978
466.164,0.006473
466.185,7.49643e-05
466.205,0.000238952
466.226,0.00115753
466.244,0.001587
466.264,0.00159199
466.285,-0.00381072
466.305,0.00441259
466.324,0.00676558
466.344,0.00267427
466.364,0.00647967
466.385,0.00517102
466.405,-0.00153745
466.426,0.00335841
466.444,0.00468293
466.464,0.0023607
466.485,0.00280658
466.505,0.00325218
466.524,0.00786908
466.545,0.00705304
466.564,0.00551396
466.585,-0.00084117
466.605,0.00221461
466.626,0.00227794
466.644,0.00386987
466.664,0.00217432
466.685,0.00568804
466.705,0.00279713
466.724,0.00407261
466.744,0.00179105
466.764,0.00194896
466.785,0.00233946
466.805,0.00280038
466.826,0.00122809
466.844,-0.000319282
466.864,0.0036573
466.885,0.00530183
466.905,0.0061515
466.924,0.00178199
466.944,0.00155315
466.964,0.00412543
466.985,0.0023692
467.005,0.00635541
467.026,0.00297935
467.044,0.00591788
467.064,0.00475073
467.085,0.0031582
467.105,0.00287113
467.125,0.0023248
467.144,0.00525165
467.164,0.0015938
467.185,0.00126675
467.205,0.00515172
467.226,0.00226555
467.244,0.00430159
467.264,0.00312854
467.285,0.0043778
467.305,0.00647696
467.325,0.00488549
467.344,0.00648801
467.364,-0.000648669
467.384,0.00150865
467.405,0.00351468
467.426,0.00456169
467.444,0.00356093
467.464,0.00236435
467.485,0.00232326
467.505,0.00524985
467.525,0.00654869
467.544,0.00648662
467.564,0.00233895
467.585,0.00295859
467.605,0.00605168
467.626,0.0057886
467.644,0.00329378
467.664,0.000925946
467.684,-0.000475801
467.705,0.00341899
467.724,-0.000684945
467.744,0.00448428
467.764,0.00603619
467.784,0.00637989
467.805,0.00359282
467.826,0.00834889
467.844,0.00219469
467.864,-0.00342478
467.884,-0.000704702
467.905,0.00695224
467.924,0.0056058
467.944,0.00629972
467.964,0.00487185
467.984,0.00727057
468.005,0.00390448
468.026,0.00289586
468.044,-0.000695466
468.064,0.00449992
468.084,0.00771602
468.105,0.00201704
468.124,0.00304408
468.144,0.00169468
468.164,0.0074765
468.184,0.00486077
468.205,0.00808865
468.226,0.0025893
468.244,0.000906224
468.264,0.00422923
468.285,0.00372892
468.305,0.00404535
468.324,0.00421659
468.344,0.000492559
468.364,0.00175571
468.384,0.00156105
468.405,0.00820187
468.426,0.00315545
468.444,0.00417501
468.464,0.00426667
468.485,0.00110417
468.505,0.00197462
468.525,0.00612121
468.544,0.00381908
