#time, AccY[]
34.7047,-0.646533
34.7245,-0.70758
34.7442,-0.655741
34.7656,-0.62284
34.7845,-0.587035
34.8046,-0.682972
34.8245,-0.637286
34.8444,-0.61895
34.8641,-0.669568
34.8844,-0.554007
34.9047,-0.650042
34.9245,-0.558913
34.9443,-0.582105
34.9658,-0.50508
34.9847,-0.675187
35.0046,-0.709939
35.0248,-0.623665
35.0446,-0.665294
35.0642,-0.62942
35.0846,-0.617923
35.1047,-0.588079
35.1245,-0.589112
35.1442,-0.784071
35.1656,-0.527126
35.1845,-0.592007
35.2046,-0.620134
35.2247,-0.608081
35.2444,-0.584006
35.2641,-0.604288
35.2846,-0.64374
35.3046,-0.736102
35.3246,-0.538032
35.3441,-0.600713
35.3656,-0.663682
35.3846,-0.670137
35.4046,-0.65019
35.4248,-0.539597
35.4443,-0.579687
35.4641,-0.625808
35.4844,-0.623612
35.5046,-0.595952
35.5246,-0.613176
35.5443,-0.636128
35.5656,-0.534842
35.5844,-0.663532
35.6046,-0.607447
35.6248,-0.711022
35.6443,-0.618654
35.6642,-0.594802
35.6844,-0.60007
35.7047,-0.556966
35.7245,-0.664456
35.7443,-0.659387
35.7656,-0.66217
35.7846,-0.667594
35.8047,-0.647519
35.8247,-0.743671
35.8441,-0.469652
35.8642,-0.635362
35.8845,-0.636343
35.9046,-0.649856
35.9243,-0.701435
35.9445,-0.645116
35.9658,-0.71585
35.9845,-0.522297
36.0051,-0.693311
36.0243,-0.659911
36.0444,-0.62928
36.0642,-0.694739
36.0846,-0.640329
36.1046,-0.599237
36.1244,-0.656944
36.1444,-0.54608
36.1658,-0.582697
36.1847,-0.598536
36.2048,-0.586431
36.2243,-0.577622
36.2442,-0.569845
36.2643,-0.725466
36.2844,-0.643564
36.3047,-0.651422
36.3243,-0.578229
36.3444,-0.650403
36.3657,-0.666106
36.3848,-0.807142
36.405,-0.559583
36.4243,-0.651518
36.4445,-0.543527
36.4642,-0.615919
36.4845,-0.712308
36.5047,-0.636987
36.5243,-0.638975
36.5445,-0.620963
36.5659,-0.614845
36.5847,-0.601072
36.6048,-0.551953
36.6243,-0.544987
36.6444,-0.624938
36.6644,-0.61597
36.6846,-0.648077
36.7047,-0.608516
36.7243,-0.653147
36.7442,-0.58467
36.7644,-0.682354
36.7863,-0.718675
36.805,-0.603764
36.8242,-0.574088
36.8441,-0.612184
36.8642,-0.627639
36.8845,-0.64755
36.9046,-0.629147
36.9243,-0.618826
36.9441,-0.682444
36.9644,-0.661488
36.9862,-0.658056
37.0051,-0.663284
37.0244,-0.596403
37.0443,-0.684946
37.0643,-0.640007
37.0846,-0.674048
37.1047,-0.61993
37.1244,-0.612596
37.1442,-0.632013
37.1645,-0.631035
37.186,-0.642985
37.205,-0.652038
37.2243,-0.631225
37.2442,-0.606929
37.2644,-0.643685
37.2844,-0.571461
37.3046,-0.665679
37.3244,-0.592072
37.3442,-0.582793
37.3658,-0.689606
37.3845,-0.68556
37.4051,-0.573254
37.4245,-0.692475
37.4443,-0.767472
37.4644,-0.659528
37.4844,-0.605691
37.5046,-0.629834
37.5244,-0.631089
37.5442,-0.653436
37.5645,-0.627251
37.5861,-0.729899
37.6048,-0.810555
37.6244,-0.633755
37.6441,-0.611029
37.6643,-0.685819
37.6847,-0.627961
37.7047,-0.634798
37.7244,-0.74018
37.7441,-0.703212
37.7656,-0.688896
37.7845,-0.66068
37.8049,-0.658139
37.8245,-0.675705
37.8441,-0.623459
37.8641,-0.693952
37.8844,-0.605415
37.9046,-0.544456
37.9243,-0.598147
37.9443,-0.66195
37.9655,-0.566002
37.9846,-0.632173
38.0049,-0.739942
38.0247,-0.67167
38.0442,-0.65861
38.0643,-0.679621
38.0847,-0.673004
38.1046,-0.647407
38.1243,-0.700004
38.1442,-0.624724
38.1642,-0.627156
38.186,-0.646973
38.2047,-0.647072
38.2247,-0.651105
38.2441,-0.73102
38.2641,-0.639392
38.2846,-0.599658
38.3046,-0.64772
38.3244,-0.649649
38.3442,-0.61539
38.364,-0.709326
38.3861,-0.68586
38.4046,-0.679855
38.4248,-0.667901
38.4443,-0.624491
38.4642,-0.588373
38.4847,-0.642303
38.5045,-0.635563
38.5244,-0.670854
38.5442,-0.620049
38.5642,-0.585855
38.5862,-0.674373
38.605,-0.675915
38.6248,-0.646748
38.6441,-0.574801
38.6642,-0.601672
38.6846,-0.668906
38.7049,-0.628166
38.7244,-0.609822
38.7443,-0.67977
38.7656,-0.617896
38.7846,-0.58276
38.8048,-0.612781
38.8247,-0.667431
38.8442,-0.600304
38.8641,-0.61164
38.8845,-0.671836
38.9047,-0.606946
38.9244,-0.639806
38.9441,-0.681323
38.9643,-0.706175
38.9859,-0.70097
39.0049,-0.682675
39.0248,-0.624064
39.044,-0.662854
39.0643,-0.606355
39.0846,-0.598118
39.1048,-0.684114
39.1244,-0.595275
39.1442,-0.569735
39.1642,-0.551034
39.1859,-0.576741
39.2048,-0.654669
39.2248,-0.602265
39.244,-0.58691
39.2642,-0.63765
39.2845,-0.669813
39.3046,-0.522492
39.3243,-0.583596
39.3443,-0.562712
39.3657,-0.633031
39.3844,-0.606073
39.405,-0.644757
39.4249,-0.62947
39.4442,-0.66039
39.4643,-0.682106
39.4844,-0.576523
39.5049,-0.568823
39.5244,-0.674074
39.5442,-0.646522
39.5655,-0.632703
39.5845,-0.62156
39.605,-0.596326
39.6248,-0.629489
39.6442,-0.615847
39.6643,-0.625826
39.6844,-0.655778
39.7047,-0.686613
39.7246,-0.647201
39.7443,-0.605049
39.7642,-0.602394
39.786,-0.658192
39.8048,-0.691154
39.8247,-0.68327
39.8442,-0.61723
39.8641,-0.57255
39.8844,-0.700757
39.9046,-0.599521
39.9244,-0.618856
39.9443,-0.691409
39.9656,-0.564471
39.9844,-0.625279
40.0046,-0.674997
40.0249,-0.632492
40.0441,-0.594627
40.0642,-0.633397
40.0845,-0.706745
40.1046,-0.632744
40.1247,-0.639596
40.1442,-0.617816
40.1657,-0.642451
40.1846,-0.637129
40.2045,-0.673819
