#time, accX[]
110.243,-0.919688
110.348,-0.938848
110.453,-0.922083
110.558,-0.931663
110.663,-0.924478
110.768,-0.917293
110.873,-0.919688
110.978,-0.910107
111.083,-0.924478
111.188,-0.924478
111.293,-0.914898
111.398,-0.934058
111.503,-0.910107
111.608,-0.917293
111.713,-0.917293
111.818,-0.922083
111.923,-0.938848
112.028,-0.910107
112.133,-0.931663
112.238,-0.941243
112.343,-0.919688
112.448,-0.938848
112.553,-0.941243
112.658,-0.917293
112.763,-0.919688
112.868,-0.914898
112.973,-0.931663
113.078,-0.912502
113.183,-0.936453
113.288,-0.922083
113.393,-0.924478
113.498,-0.924478
113.603,-0.919688
113.708,-0.914898
113.813,-0.919688
113.918,-0.905317
114.023,-0.922083
114.128,-0.924478
114.233,-0.907712
114.338,-0.929268
114.443,-0.917293
114.548,-0.907712
114.653,-0.902922
114.758,-0.910107
114.863,-0.929268
114.968,-0.907712
115.073,-0.929268
115.178,-0.926873
115.283,-0.934058
115.388,-0.934058
115.493,-0.926873
115.598,-0.926873
115.703,-0.931663
115.808,-0.924478
115.913,-0.914898
116.018,-0.914898
116.123,-0.914898
116.228,-0.926873
116.333,-0.907712
116.438,-0.919688
116.543,-0.931663
116.648,-0.934058
116.753,-0.910107
116.858,-0.943638
116.963,-0.910107
117.068,-0.919688
117.173,-0.926873
117.278,-0.922083
117.383,-0.929268
117.488,-0.914898
117.593,-0.931663
117.698,-0.912502
117.803,-0.910107
117.908,-0.914898
118.013,-0.910107
118.118,-0.924478
118.223,-0.912502
118.328,-0.919688
118.433,-0.905317
118.538,-0.938848
118.643,-0.929268
118.748,-0.922083
118.853,-0.924478
118.958,-0.895737
119.063,-0.910107
119.168,-0.922083
119.273,-0.924478
119.378,-0.919688
119.483,-0.924478
119.588,-0.929268
119.693,-0.922083
119.798,-0.922083
119.903,-0.910107
120.008,-0.919688
120.113,-0.910107
120.218,-0.912502
120.323,-0.900527
120.428,-0.929268
120.533,-0.905317
120.638,-0.912502
120.743,-0.922083
120.848,-0.922083
120.953,-0.914898
121.058,-0.929268
121.163,-0.919688
121.268,-0.907712
121.373,-0.929268
121.478,-0.917293
121.583,-0.917293
121.688,-0.914898
121.793,-0.917293
121.898,-0.936453
122.003,-0.950823
122.108,-0.799937
122.213,-0.809517
122.318,-0.888552
122.423,-1.09692
122.528,-1.03465
122.633,-0.874182
122.738,-0.831072
122.843,-0.948428
122.948,-1.05381
123.053,-0.934058
123.158,-0.993933
123.263,-0.922083
123.368,-0.934058
123.473,-0.960403
123.578,-0.929268
123.683,-1.07536
123.788,-1.04423
123.893,-0.967588
123.998,-0.871787
124.103,-1.03704
124.208,-0.926873
124.313,-0.914898
124.418,-0.934058
124.523,-0.847837
124.628,-0.941243
124.733,-0.869392
124.838,-0.833467
124.943,-1.12087
125.048,-1.36037
125.153,-2.51477
125.258,1.2981
125.363,0.112566
125.468,-0.210762
125.573,0.122146
125.678,0.301772
125.783,-0.170046
125.888,-0.174836
125.993,-0.423918
126.098,0.263452
126.203,0.117356
126.308,-0.519719
