time;accX;accY;accZ;gyroX;gyroY;gyroZ;alt;lat;lon;EleL;EleR
260.982000;-1.257228;-0.202299;-17.158093;0.684326;0.590867;0.438960;638.599000;48.066500;11.643900;-0.124181;0.013995
261.002000;-1.249474;-0.222372;-17.070055;0.689804;0.594925;0.442409;638.599000;48.066500;11.643900;-0.124597;0.014028
261.022000;-1.241719;-0.242444;-16.982017;0.695283;0.598983;0.445859;638.599000;48.066500;11.643900;-0.125013;0.014061
261.042000;-1.234214;-0.255241;-16.986306;0.690717;0.594671;0.456004;638.599000;48.066500;11.643900;-0.125735;0.014954
261.062000;-1.226914;-0.262083;-17.066134;0.677934;0.583511;0.471628;638.599000;48.066500;11.643900;-0.126764;0.016707
261.082000;-1.219613;-0.268926;-17.145963;0.665151;0.572351;0.487252;638.599000;48.066500;11.643900;-0.127792;0.018461
261.102000;-1.212312;-0.275769;-17.225791;0.652368;0.561192;0.502876;638.599000;48.066500;11.643900;-0.128821;0.020214
261.122000;-1.205011;-0.282612;-17.305620;0.639585;0.550032;0.518499;638.599000;48.066500;11.643900;-0.129850;0.021968
261.142000;-1.209343;-0.284117;-17.323866;0.635568;0.545629;0.533210;638.599000;48.066500;11.643900;-0.130698;0.023466
261.162000;-1.240822;-0.273169;-17.198418;0.652003;0.556991;0.545790;638.599000;48.066500;11.643900;-0.131007;0.024201
261.182000;-1.272300;-0.262220;-17.072970;0.668438;0.568354;0.558371;638.599000;48.066500;11.643900;-0.131316;0.024936
261.202000;-1.303778;-0.251272;-16.947523;0.684874;0.579717;0.570951;638.599000;48.066500;11.643900;-0.131625;0.025671
261.222000;-1.335256;-0.240323;-16.822075;0.701309;0.591079;0.583532;638.599000;48.066500;11.643900;-0.131934;0.026405
261.242000;-1.365913;-0.230219;-16.700732;0.716335;0.603325;0.596376;638.599000;48.066500;11.643900;-0.132243;0.027140
261.262000;-1.380968;-0.236149;-16.657380;0.704566;0.632341;0.614232;638.599000;48.066500;11.643900;-0.134726;0.027076
261.282000;-1.396023;-0.242079;-16.614028;0.692797;0.661356;0.632087;638.599000;48.066500;11.643900;-0.137208;0.027012
261.302000;-1.411078;-0.248010;-16.570675;0.681029;0.690372;0.649943;638.599000;48.066500;11.643900;-0.139691;0.026947
261.322000;-1.426134;-0.253940;-16.527323;0.669260;0.719388;0.667799;638.599000;48.066500;11.643900;-0.142174;0.026883
261.342000;-1.441189;-0.259871;-16.483970;0.657492;0.748404;0.685655;638.599000;48.066500;11.643900;-0.144656;0.026819
261.362000;-1.423033;-0.219087;-16.551582;0.695232;0.737650;0.683382;637.846695;48.066485;11.643870;-0.145376;0.025576
261.382000;-1.396574;-0.166625;-16.646934;0.745351;0.716953;0.676078;636.906314;48.066466;11.643831;-0.145508;0.023940
261.402000;-1.370115;-0.114163;-16.742287;0.795469;0.696257;0.668773;635.965933;48.066447;11.643793;-0.145640;0.022305
261.422000;-1.343656;-0.061700;-16.837639;0.845587;0.675560;0.661469;635.025552;48.066428;11.643755;-0.145772;0.020669
261.442000;-1.317197;-0.009238;-16.932991;0.895705;0.654863;0.654164;634.085171;48.066409;11.643717;-0.145904;0.019033
261.462000;-1.289984;-0.005702;-17.065220;0.947720;0.647447;0.613491;633.662000;48.066400;11.643700;-0.143669;0.015878
261.482000;-1.262156;-0.042198;-17.227620;1.001288;0.650897;0.545517;633.662000;48.066400;11.643700;-0.139066;0.011202
261.502000;-1.234327;-0.078693;-17.390020;1.054856;0.654346;0.477543;633.662000;48.066400;11.643700;-0.134463;0.006527
261.522000;-1.206499;-0.115189;-17.552420;1.108424;0.657796;0.409569;633.662000;48.066400;11.643700;-0.129861;0.001851
261.542000;-1.178670;-0.151684;-17.714820;1.161992;0.661245;0.341595;633.662000;48.066400;11.643700;-0.125258;-0.002824
261.562000;-1.192857;-0.172441;-17.587769;1.205151;0.681861;0.293648;633.662000;48.066400;11.643700;-0.121241;-0.007381
261.582000;-1.305080;-0.156474;-16.785330;1.224022;0.742530;0.292430;633.662000;48.066400;11.643700;-0.118980;-0.011580
261.602000;-1.417303;-0.140508;-15.982892;1.242892;0.803199;0.291213;633.662000;48.066400;11.643700;-0.116720;-0.015779
261.622000;-1.529525;-0.124541;-15.180454;1.261763;0.863869;0.289995;633.662000;48.066400;11.643700;-0.114459;-0.019978
261.642000;-1.641748;-0.108574;-14.378016;1.280633;0.924538;0.288778;633.662000;48.066400;11.643700;-0.112199;-0.024177
261.662000;-1.743159;-0.093771;-13.660863;1.292868;0.977822;0.288757;633.662000;48.066400;11.643700;-0.109938;-0.028377
261.682000;-1.639148;-0.101070;-14.564120;1.179037;0.890774;0.311483;633.662000;48.066400;11.643700;-0.112539;-0.027690
261.702000;-1.535137;-0.108369;-15.467377;1.065205;0.803727;0.334209;633.662000;48.066400;11.643700;-0.115139;-0.027004
261.722000;-1.431125;-0.115668;-16.370634;0.951374;0.716679;0.356934;633.662000;48.066400;11.643700;-0.117740;-0.026318
261.742000;-1.327114;-0.122967;-17.273891;0.837542;0.629632;0.379660;633.662000;48.066400;11.643700;-0.120340;-0.025632
261.762000;-1.223102;-0.130266;-18.177149;0.723710;0.542584;0.402386;633.662000;48.066400;11.643700;-0.122941;-0.024945
261.782000;-1.283319;-0.139755;-17.702349;0.661499;0.557153;0.414398;633.662000;48.066400;11.643700;-0.124957;-0.021089
261.802000;-1.384594;-0.149791;-16.883034;0.612192;0.597126;0.423732;633.662000;48.066400;11.643700;-0.126778;-0.016175
261.822000;-1.485868;-0.159828;-16.063720;0.562886;0.637099;0.433065;633.662000;48.066400;11.643700;-0.128599;-0.011261
261.842000;-1.587142;-0.169864;-15.244406;0.513579;0.677071;0.442399;633.662000;48.066400;11.643700;-0.130420;-0.006348
261.862000;-1.688417;-0.179901;-14.425091;0.464273;0.717044;0.451733;633.662000;48.066400;11.643700;-0.132241;-0.001434
261.882000;-1.746787;-0.202984;-14.020519;0.425234;0.738492;0.470218;633.662000;48.066400;11.643700;-0.135260;0.001703
261.902000;-1.770053;-0.236742;-13.955281;0.394594;0.744782;0.496190;633.662000;48.066400;11.643700;-0.139475;0.003065
261.922000;-1.793320;-0.270501;-13.890043;0.363955;0.751072;0.522162;633.662000;48.066400;11.643700;-0.143690;0.004426
261.942000;-1.816587;-0.304259;-13.824805;0.333316;0.757363;0.548134;633.662000;48.066400;11.643700;-0.147905;0.005787
261.962000;-1.839853;-0.338017;-13.759567;0.302677;0.763653;0.574106;633.662000;48.066400;11.643700;-0.152120;0.007148
261.982000;-1.872289;-0.344814;-13.557746;0.300344;0.764038;0.604035;633.662000;48.066400;11.643700;-0.156046;0.008667
262.002000;-1.926120;-0.288703;-13.037231;0.364057;0.750646;0.643196;633.662000;48.066400;11.643700;-0.157363;0.011608
262.022000;-1.979950;-0.232591;-12.516717;0.427770;0.737254;0.682358;633.662000;48.066400;11.643700;-0.158679;0.014549
262.042000;-2.033781;-0.176479;-11.996203;0.491483;0.723862;0.721519;633.662000;48.066400;11.643700;-0.159996;0.017490
262.062000;-2.087611;-0.120367;-11.475689;0.555196;0.710470;0.760680;633.662000;48.066400;11.643700;-0.161313;0.020431
262.082000;-2.133869;-0.064711;-11.034939;0.622054;0.700396;0.796402;633.662000;48.066400;11.643700;-0.162630;0.023372
262.102000;-2.036244;-0.017723;-12.109720;0.748668;0.753355;0.766777;633.662000;48.066400;11.643700;-0.158815;0.015621
262.122000;-1.938619;0.029265;-13.184501;0.875283;0.806314;0.737153;633.662000;48.066400;11.643700;-0.155001;0.007871
262.142000;-1.840994;0.076253;-14.259282;1.001898;0.859273;0.707528;633.662000;48.066400;11.643700;-0.151186;0.000121
262.162000;-1.743370;0.123240;-15.334063;1.128512;0.912231;0.677903;633.662000;48.066400;11.643700;-0.147371;-0.007630
