#time, gyroY[]
76.0121,-0.213053
76.1171,-0.0319579
76.2221,0.00745685
76.3271,0.0916127
76.4321,0.0958738
76.5371,0.0287621
76.6421,-0.052198
76.7471,0.052198
76.8521,0.14168
76.9571,-0.0916127
77.0621,0.0681769
77.1671,0.185356
77.2721,0.134223
77.3771,0.0841559
77.4821,0.251402
77.5871,0.0958738
77.6921,0.0138484
77.7971,0.00745685
77.9021,0.262055
78.0071,0.132093
78.1121,0.123571
78.2171,-0.122505
78.3221,-0.469782
78.4271,0.109722
78.5321,-0.298274
78.6371,0.355798
78.7421,0.0308927
78.8471,0.172573
78.9521,0.247141
79.0571,-0.00639159
79.1621,0.120375
79.2671,0.116114
79.3721,0.246076
79.4771,-0.634898
79.5821,0.0106526
79.6871,0.092678
79.7921,-0.0149137
79.8971,-0.0330232
80.0021,0.28336
80.1071,-0.0181095
80.2121,0.110788
80.3171,0.0181095
80.4221,-0.092678
80.5271,0.0436758
80.6321,0.0713727
80.7371,0.00532632
80.8421,0.0894822
80.9471,0.117179
81.0521,0.0287621
81.1571,0.162985
81.2621,-0.0852212
81.3671,0.103331
81.4721,-0.0511327
81.5771,0.327036
81.6821,0.138484
81.7871,0.0617853
81.8921,0.320645
81.9971,-0.0234358
82.1021,-0.0191748
82.2071,0.0798948
82.3121,0.0692422
82.4171,-0.124636
82.5221,-0.0660464
82.6271,-0.0543285
82.7321,0.0394148
82.8371,0.104396
82.9421,-0
83.0471,-0.0213053
83.1521,-0.0809601
83.2571,-0.00426106
83.3621,0.0713727
83.4671,0.076699
83.5721,0.0830906
83.6771,0.0372843
83.7821,0.173638
83.8871,0.0223706
83.9921,0.0756338
84.0971,0.0692422
84.2021,0.0543285
84.3071,0.0660464
84.4121,0.0223706
84.5171,0.0117179
84.6221,0.0884169
84.7271,0.106526
84.8321,0.126766
84.9371,-0.254598
85.0421,-0.137419
85.1471,0.0255663
85.2521,0.0873517
85.3571,0.0468716
85.4621,0.0468716
85.5671,0.0127832
85.6721,-0.311057
85.7771,-0.174703
