#time, accZ[]
95.4371,-14.7916
95.5421,-10.0543
95.6471,-10.3082
95.7521,-10.4303
95.8571,-10.4064
95.9621,-10.8399
96.0671,-9.7597
96.1721,-10.1094
96.2771,-9.95849
96.3821,-10.1669
96.4871,-10.3872
96.5921,-10.4638
96.6971,-10.653
96.8021,-10.3632
96.9071,-10.2627
97.0121,-10.4614
97.1171,-10.7848
97.2221,-10.8446
97.3271,-10.4135
97.4321,-10.6195
97.5371,-11.0386
97.6421,-12.2769
97.7471,-10.7105
97.8521,-9.96328
97.9571,-8.42089
98.0621,-11.5272
98.1671,-10.5668
98.2721,-11.5009
98.3771,-9.67109
98.4821,-9.77168
98.5871,-10.4159
98.6921,-10.5572
98.7971,-10.1142
98.9021,-10.9045
99.0071,-10.871
99.1121,-11.065
99.2171,-10.5692
99.3221,-9.59445
99.4271,-6.59828
99.5321,-11.1153
99.6371,-12.0853
99.7421,-8.53106
99.8471,-7.17308
99.9521,-10.507
100.057,-11.0698
100.162,-10.2674
100.267,-9.81
100.372,-10.8806
100.477,-10.0495
100.582,-9.77647
100.687,-10.3297
100.792,-10.1716
100.897,-9.95131
101.002,-10.3632
101.107,-10.0782
101.212,-10.3345
101.317,-10.1046
101.422,-10.289
101.527,-10.016
101.632,-10.0854
101.737,-10.277
101.842,-10.0567
101.947,-10.1237
102.052,-10.3393
102.157,-9.82916
102.262,-10.2651
102.367,-10.2579
102.472,-10.3441
102.577,-9.81
102.682,-9.61121
102.787,-9.12023
102.892,-10.6794
102.997,-11.4099
103.102,-10.2172
103.207,-11.0075
103.312,-11.1488
103.417,-9.96807
103.522,-10.2866
103.627,-9.74533
103.732,-10.3537
103.837,-11.5272
103.942,-8.87834
104.047,-10.9788
104.152,-9.3765
104.257,-10.0926
104.362,-9.58726
104.467,-10.2172
104.572,-10.2124
104.677,-9.96089
104.782,-10.5046
104.887,-10.3968
104.992,-9.78605
105.097,-8.49992
105.202,-11.1153
105.307,-12.3823
105.412,-10.2531
105.517,-10.8375
105.622,-9.29507
105.727,-10.0998
105.832,-11.465
105.937,-10.1309
106.042,-9.97047
106.147,-4.8092
106.252,-9.19448
106.357,-11.3213
106.462,-9.78605
106.567,-10.4854
106.672,-10.4974
106.777,-9.97765
106.882,-9.59684
106.987,-11.9464
107.092,-8.58375
107.197,-9.55373
107.302,-12.2074
107.407,-10.0279
107.512,-11.7979
107.617,-10.4064
107.722,-8.8975
107.827,-11.5344
107.932,-9.29747
108.037,-10.0399
108.142,-10.9668
108.247,-10.2315
108.352,-10.4375
108.457,-10.4806
108.562,-9.77886
108.667,-10.9333
108.772,-10.38
108.877,-9.60163
108.982,-10.483
109.087,-9.95131
109.192,-9.98723
109.297,-11.5608
109.402,-7.08447
109.507,-11.4985
109.612,-9.80282
109.717,-10.6004
109.822,-10.9165
109.927,-9.69983
110.032,-13.4528
110.137,-12.0446
110.242,-11.5799
110.347,-10.8854
110.452,-10.9836
110.557,-12.7463
110.662,-10.8111
110.767,-11.0913
110.872,-11.0099
110.977,-8.3179
111.082,-10.5956
111.187,-10.4854
111.292,-10.7512
111.397,-10.4519
111.502,-11.0626
111.607,-11.0003
111.712,-10.3034
111.817,-9.84114
111.922,-11.1009
112.027,-9.41003
112.132,-9.17053
112.237,-9.78126
112.342,-10.8734
112.447,-10.4375
112.552,-10.2076
112.657,-10.3201
112.762,-10.6722
112.867,-11.1416
112.972,-11.0818
113.077,-11.156
113.182,-8.81128
113.287,-11.1536
113.392,-11.1871
113.497,-10.4375
113.602,-9.63277
113.707,-9.64953
113.812,-10.8446
113.917,-10.1405
114.022,-10.3153
114.127,-10.4734
114.232,-10.4591
114.337,-10.4471
114.442,-10.4686
114.547,-10.5501
114.652,-10.4423
114.757,-10.0687
114.862,-10.3106
114.967,-10.277
115.072,-11.3452
115.177,-10.3321
115.282,-10.5285
115.387,-9.81958
115.492,-9.65193
115.597,-10.6291
115.702,-10.2459
115.807,-10.9668
115.912,-10.5429
116.017,-10.4303
116.122,-10.2243
116.227,-10.6602
116.332,-10.3776
116.437,-11.4171
116.542,-10.5692
116.647,-10.653
116.752,-10.6051
