#time, pitch[]
63.9371,-0.129576
64.0421,-0.129628
64.1471,-0.129916
64.2521,-0.130193
64.3571,-0.129777
64.4621,-0.130508
64.5671,-0.130364
64.6721,-0.129784
64.7771,-0.12896
64.8821,-0.127173
64.9871,-0.126654
65.0921,-0.125329
65.1971,-0.124335
65.3021,-0.124217
65.4071,-0.124473
65.5121,-0.12417
65.6171,-0.124405
65.7221,-0.125956
65.8271,-0.126238
65.9321,-0.12672
66.0371,-0.126738
66.1421,-0.127015
66.2471,-0.127383
66.3521,-0.127998
66.4572,-0.130038
66.5621,-0.128746
66.6671,-0.127561
66.7721,-0.125823
66.8771,-0.126086
66.9821,-0.126374
67.0871,-0.126662
67.1921,-0.117364
67.2971,-0.116751
67.4021,-0.117719
67.5071,-0.118812
67.6121,-0.121898
67.7171,-0.126127
67.8221,-0.123917
67.9271,-0.123168
68.0321,-0.116493
68.1371,-0.104905
68.2421,-0.0947379
68.3471,-0.0738149
68.4521,-0.0639803
68.5571,-0.0424415
68.6621,-0.0121455
68.7671,-0.0146924
68.8721,-0.015802
68.9771,-0.0188761
69.0821,-0.0168296
69.1871,-0.0134618
69.2921,-0.0126314
69.3971,-0.023046
69.5021,-0.0211301
69.6071,-0.0219694
69.7121,-0.0229684
69.8171,-0.0267329
69.9221,-0.0282133
70.0271,-0.0232211
70.1321,-0.0296892
70.2371,-0.0318274
70.3421,-0.0204468
70.4471,-0.0312694
70.5521,-0.0382098
70.6571,-0.0344349
70.7621,-0.0323964
70.8671,-0.0332744
70.9721,-0.0488424
71.0771,-0.0637175
71.1821,-0.0580683
71.2871,-0.0446607
71.3921,-0.0370716
71.4971,-0.039457
71.6021,-0.0508579
71.7071,-0.0613023
71.8121,-0.0610894
71.9171,-0.0342716
72.0221,-0.0396143
72.1271,-0.0232823
72.2321,-0.0219409
72.3371,-0.0338035
72.4421,-0.0433148
72.5471,-0.0742148
72.6521,-0.0688404
72.7571,-0.0523551
72.8621,-0.0398715
72.9671,-0.0604378
73.0721,-0.073274
73.1771,-0.0214564
73.2821,0.0203648
73.3871,-0.00388944
73.4921,-0.0779394
73.5971,-0.0460072
73.7021,0.00369799
73.8071,0.0160608
73.9121,0.0533693
74.0171,0.0798757
74.1221,0.0900342
74.2271,0.103572
74.3321,0.108976
74.4371,0.11868
74.5421,0.115973
74.6471,0.112433
74.7521,0.0997809
74.8571,0.0884358
74.9621,0.10051
75.0671,0.0946615
75.1721,0.105154
75.2771,0.104933
75.3821,0.0968782
75.4871,0.0839196
75.5921,0.0723753
75.6971,0.0685381
75.8021,0.0704982
75.9071,0.0794122
76.0121,0.0756545
76.1171,0.0549301
76.2221,0.0536659
76.3271,0.0513299
76.4321,0.0534167
76.5371,0.0543219
76.6421,0.0514262
76.7471,0.0404528
76.8521,0.0538044
76.9571,0.0546415
77.0621,0.0651835
77.1671,0.0665195
77.2721,0.0800643
77.3771,0.0813489
77.4821,0.0836107
77.5871,0.0975482
77.6921,0.102006
77.7971,0.0974419
77.9021,0.105927
78.0071,0.123096
78.1121,0.132146
78.2171,0.131237
78.3221,0.0902076
78.4271,0.0912232
78.5321,0.0684062
78.6371,0.0781921
78.7421,0.091324
78.8471,0.0926752
78.9521,0.108053
79.0571,0.110622
79.1621,0.118278
79.2671,0.123701
79.3721,0.147851
79.4771,0.111616
79.5821,0.0734929
79.6871,0.0922418
79.7921,0.086679
79.8971,0.0779734
80.0021,0.0844496
80.1071,0.0733972
80.2121,0.0727733
80.3171,0.0718888
80.4221,0.0744196
80.5271,0.0767961
80.6321,0.0851301
80.7371,0.0813038
80.8421,0.0820209
80.9471,0.0856105
81.0521,0.0886931
81.1571,0.0801245
81.2621,0.0802618
81.3671,0.0802574
81.4721,0.0684422
81.5771,0.0842167
81.6821,0.0895391
81.7871,0.0899025
81.8921,0.0891658
81.9971,0.0912055
82.1021,0.0944811
82.2071,0.0943567
82.3121,0.100184
82.4171,0.0946712
82.5221,0.0743531
82.6271,0.0643357
82.7321,0.0599015
82.8371,0.0644476
82.9421,0.0495473
83.0471,0.0545362
83.1521,0.0321975
83.2571,0.0371215
83.3621,0.036498
83.4671,0.0384604
83.5721,0.04012
83.6771,0.043396
83.7821,0.0510898
83.8871,0.0524486
83.9921,0.0542113
84.0971,0.0562338
84.2021,0.0585057
84.3071,0.0595173
84.4121,0.0592296
84.5171,0.0582038
84.6221,0.0573044
84.7271,0.0537325
84.8321,0.0596302
84.9371,0.0452362
85.0421,0.0179878
85.1471,0.014388
85.2521,0.0241352
85.3571,0.0393901
85.4621,0.0461999
85.5671,0.0485904
85.6721,0.0304794
85.7771,-0.0057776
85.8821,0.0026294
85.9871,0.0263243
86.0921,0.036405
86.1971,0.013589
86.3021,0.0301847
86.4071,0.0326539
86.5121,0.0351348
86.6171,0.0328817
86.7221,0.0418485
86.8271,0.0365335
86.9321,0.0331796
87.0371,0.0315068
87.1421,0.0249523
87.2471,0.0151302
87.3521,0.00761592
87.4571,-0.00219285
87.5621,-0.0498253
87.6671,-0.0791292
87.7721,-0.0833305
87.8771,-0.0829846
87.9821,-0.0828058
88.0871,-0.0827613
88.1921,-0.0824947
88.2971,-0.0822927
88.4021,-0.0820572
88.5071,-0.0818936
88.6121,-0.0817684
88.7171,-0.0816808
88.8221,-0.0817124
88.9271,-0.0817699
89.0321,-0.0818092
89.1371,-0.0817405
89.2421,-0.0818144
89.3471,-0.0818257
89.4521,-0.0818369
89.5571,-0.0818448
89.6621,-0.0819266
89.7671,-0.0818537
89.8721,-0.0820125
89.9771,-0.0820733
90.0821,-0.0822315
90.1871,-0.0823264
90.2921,-0.082467
90.3971,-0.0825548
90.5021,-0.0826719
90.6071,-0.082804
90.7121,-0.0829349
90.8171,-0.0829947
90.9221,-0.0830009
91.0271,-0.0830944
91.1321,-0.0832895
91.2371,-0.0835032
91.3421,-0.0835189
91.4471,-0.0837047
91.5521,-0.0838794
91.6571,-0.0839539
91.7621,-0.0840194
91.8671,-0.0843061
91.9721,-0.0844361
92.0771,-0.0845935
92.1821,-0.0846386
92.2871,-0.0847015
92.3921,-0.0847712
92.4971,-0.0848703
92.6021,-0.0850261
92.7071,-0.0850704
92.8121,-0.0851449
92.9171,-0.0852504
93.0221,-0.085373
93.1271,-0.0855671
93.2321,-0.0856894
93.3371,-0.0857497
93.4421,-0.0858926
93.5471,-0.0859094
93.6521,-0.0860026
93.7571,-0.0861543
93.8621,-0.086151
93.9671,-0.0861973
94.0721,-0.0863155
94.1771,-0.0863715
94.2821,-0.0863461
94.3871,-0.0865663
94.4921,-0.086709
94.5971,-0.0867308
94.7021,-0.0868793
94.8071,-0.0869702
94.9121,-0.0870488
95.0171,-0.0870681
95.1221,-0.087113
95.2271,-0.0871727
95.3321,-0.0871778
95.4371,-0.118235
95.5421,-0.129945
95.6471,-0.146641
95.7521,-0.165993
95.8571,-0.17464
95.9621,-0.174706
96.0671,-0.146257
96.1721,-0.14505
96.2771,-0.151417
96.3821,-0.159867
96.4871,-0.164188
96.5921,-0.166019
96.6971,-0.160625
96.8021,-0.156129
96.9071,-0.161337
97.0121,-0.163473
97.1171,-0.14475
97.2221,-0.133016
97.3271,-0.130515
97.4321,-0.131186
97.5371,-0.131128
97.6421,-0.0946505
97.7471,0.00107586
97.8521,0.094463
97.9571,0.165542
98.0621,0.170767
98.1671,0.193303
98.2721,0.201295
98.3771,0.218307
98.4821,0.231825
98.5871,0.234035
98.6921,0.234652
98.7971,0.235503
98.9021,0.228679
99.0071,0.230171
99.1121,0.230108
99.2171,0.223708
99.3221,0.226891
99.4271,0.228118
99.5321,0.211531
99.6371,0.2248
99.7421,0.260121
99.8471,0.253588
99.9521,0.244658
100.057,0.228323
100.162,0.23205
100.267,0.23245
100.372,0.226161
100.477,0.229366
100.582,0.227343
100.687,0.218376
100.792,0.215047
100.897,0.212164
101.002,0.211773
101.107,0.212163
101.212,0.208021
101.317,0.206683
101.422,0.207224
101.527,0.206926
101.632,0.205787
101.737,0.204586
101.842,0.205614
101.947,0.207624
102.052,0.209303
102.157,0.212333
102.262,0.210357
102.367,0.207955
102.472,0.202808
102.577,0.202331
102.682,0.201252
102.787,0.200376
102.892,0.203973
102.997,0.199365
103.102,0.210684
103.207,0.206714
103.312,0.20275
103.417,0.199462
103.522,0.193753
103.627,0.202885
103.732,0.19903
103.837,0.197193
103.942,0.212861
104.047,0.205849
104.152,0.211988
104.257,0.206532
104.362,0.204885
104.467,0.20481
104.572,0.20602
104.677,0.214471
104.782,0.209321
104.887,0.21135
104.992,0.210459
105.097,0.204434
105.202,0.194997
105.307,0.193348
105.412,0.196217
105.517,0.185673
105.622,0.168543
105.727,0.15127
105.832,0.153394
105.937,0.16067
106.042,0.184213
106.147,0.177076
106.252,0.173182
106.357,0.163011
106.462,0.163186
106.567,0.159595
106.672,0.139533
106.777,0.126268
106.882,0.0997367
106.987,0.110805
107.092,0.125502
107.197,0.112533
107.302,0.1036
107.407,0.112872
107.512,0.112321
107.617,0.126671
107.722,0.140432
107.827,0.134664
107.932,0.157082
108.037,0.154526
108.142,0.149449
108.247,0.153033
108.352,0.147665
108.457,0.148595
108.562,0.149301
108.667,0.14345
108.772,0.150126
108.877,0.159259
108.982,0.149149
109.087,0.151521
109.192,0.154438
109.297,0.145208
109.402,0.164829
109.507,0.152644
109.612,0.163572
109.717,0.159015
109.822,0.151797
109.927,0.159881
110.032,0.157739
110.137,0.156998
110.242,0.153697
110.347,0.153372
110.452,0.166342
110.557,0.171348
110.662,0.178181
110.767,0.149425
110.872,0.125599
110.977,0.125477
111.082,0.123264
111.187,0.119795
111.292,0.119594
111.397,0.12192
111.502,0.119637
111.607,0.124041
111.712,0.124092
111.817,0.115834
111.922,0.102277
112.027,0.125934
112.132,0.13641
112.237,0.137651
112.342,0.138426
112.447,0.137134
112.552,0.147624
112.657,0.146336
112.762,0.132964
112.867,0.13081
112.972,0.130939
113.077,0.123433
113.182,0.120036
113.287,0.0833482
113.392,0.0605677
113.497,0.0451089
113.602,0.0287243
113.707,-0.0259366
113.812,-0.0759032
113.917,-0.066678
114.022,-0.0673527
114.127,-0.0678604
114.232,-0.0676954
114.337,-0.067759
114.442,-0.0678325
114.547,-0.0676446
114.652,-0.067678
114.757,-0.0691417
114.862,-0.0745018
114.967,-0.0858984
115.072,-0.0959867
115.177,-0.0973326
115.282,-0.0944792
115.387,-0.0910205
115.492,-0.0992743
115.597,-0.0837172
115.702,-0.0554751
115.807,-0.0460733
115.912,-0.0356503
116.017,-0.034955
116.122,-0.0381906
116.227,-0.0441201
116.332,-0.0482194
116.437,-0.0422634
116.542,-0.0359354
116.647,-0.038577
116.752,-0.0470651
116.857,-0.0462021
116.962,-0.0392584
117.067,-0.0423526
117.172,-0.0483923
117.277,-0.0522372
117.382,-0.0597441
117.487,-0.0622765
117.592,-0.0625193
117.697,-0.0627837
117.802,-0.0628271
117.907,-0.0630078
118.012,-0.0631295
118.117,-0.0633228
118.222,-0.0633671
118.327,-0.063472
118.432,-0.0634769
118.537,-0.0636047
118.642,-0.0636095
118.747,-0.0637505
118.852,-0.0639035
118.957,-0.0640168
119.062,-0.0641581
119.167,-0.064206
119.272,-0.0642869
119.377,-0.0644188
119.482,-0.064357
119.587,-0.0644199
119.692,-0.064588
119.797,-0.0646633
119.902,-0.0648421
120.007,-0.0649294
120.112,-0.06496
120.217,-0.0650196
120.322,-0.0649682
120.427,-0.0652033
120.532,-0.0653383
120.637,-0.0653825
120.742,-0.0660505
120.847,-0.0663321
120.952,-0.0662646
121.057,-0.0667347
121.162,-0.0676987
121.267,-0.068939
121.372,-0.0708306
121.477,-0.0699052
121.582,-0.0707042
121.687,-0.0717796
121.792,-0.0764949
121.897,-0.0818622
122.002,-0.0744483
122.107,-0.0770241
122.212,-0.0750189
122.317,-0.0755887
122.422,-0.0771763
122.527,-0.0819072
122.632,-0.0798146
122.737,-0.0806313
122.842,-0.0827261
122.947,-0.0804727
123.052,-0.0830346
123.157,-0.0908685
123.262,-0.0919819
123.367,-0.093163
123.472,-0.0937988
123.577,-0.093631
123.682,-0.0968125
123.787,-0.096276
123.892,-0.0948846
123.997,-0.0923479
124.102,-0.0907704
124.207,-0.0905025
124.312,-0.0900513
124.417,-0.0897096
124.522,-0.0957403
124.627,-0.0931052
124.732,-0.0915712
124.837,-0.0553235
124.942,0.0241394
125.047,0.0550377
125.152,0.0846335
125.257,0.0725526
125.362,0.0855764
125.467,0.0949142
125.572,0.0473897
125.677,0.0323421
125.782,0.0144491
125.887,0.0176077
125.992,0.0188965
126.097,0.0359728
126.202,0.0358304
126.307,0.0310659
126.412,0.0418389
126.517,0.0121816
126.622,-0.065649
126.727,-0.0641681
126.832,-0.0533068
126.937,-0.0326848
127.042,-0.0418075
127.147,-0.0663836
127.252,-0.07774
127.357,-0.0593991
127.462,-0.0570041
127.567,-0.0907053
127.672,-0.0801998
127.777,-0.0636185
127.882,-0.0374259
127.987,-0.0713557
128.092,-0.0991675
128.197,-0.0932508
128.302,-0.0592424
128.407,-0.0803291
128.512,-0.0934365
128.617,-0.0564733
128.722,-0.0355709
128.827,-0.0627865
128.932,-0.0403287
129.037,-0.0284882
129.142,-0.055549
129.247,-0.0258889
129.352,-0.0123245
129.457,-0.0134153
129.562,-0.0267265
129.667,-0.0375421
129.772,-0.0789132
129.877,-0.0724442
129.982,-0.0729842
130.087,-0.073246
130.192,-0.0735117
130.297,-0.0736468
130.402,-0.0736505
130.507,-0.0736943
130.612,-0.0737449
130.717,-0.0736332
130.822,-0.0737393
130.927,-0.0736505
131.032,-0.0738907
131.137,-0.0739589
131.242,-0.0739983
131.347,-0.0739794
131.452,-0.0741655
131.557,-0.0742394
131.662,-0.0742735
131.767,-0.0743359
131.872,-0.0745138
131.977,-0.0746963
132.082,-0.0747255
132.187,-0.0746289
132.292,-0.0746487
132.397,-0.0747536
132.502,-0.0747187
132.607,-0.0747685
132.712,-0.0748243
132.817,-0.0748993
132.922,-0.0750299
133.027,-0.0751231
133.132,-0.0751184
133.237,-0.0751504
133.342,-0.0752631
133.447,-0.0752794
133.552,-0.0754224
133.657,-0.0754335
133.762,-0.0753957
133.867,-0.0754114
133.972,-0.075459
134.077,-0.0754631
134.182,-0.0754474
134.287,-0.0753953
134.392,-0.075516
134.497,-0.0755631
134.602,-0.0756407
134.707,-0.0758275
134.812,-0.0758835
134.917,-0.0759678
135.022,-0.0759274
135.127,-0.0760256
135.232,-0.0760431
135.337,-0.0761203
135.442,-0.076077
135.547,-0.0760616
135.652,-0.0761174
135.757,-0.0760895
135.862,-0.0762017
135.967,-0.0762731
136.072,-0.0763413
136.177,-0.076427
136.282,-0.0764035
136.387,-0.0764788
136.492,-0.076463
136.597,-0.0764968
136.702,-0.0764146
136.807,-0.0765544
136.912,-0.076506
137.017,-0.0765833
137.122,-0.0766177
137.227,-0.0766872
137.332,-0.076718
137.437,-0.07672
137.542,-0.0767958
137.647,-0.0768055
137.752,-0.0767843
137.857,-0.07684
137.962,-0.0768318
138.067,-0.0767651
138.172,-0.0767713
138.277,-0.0767359
138.382,-0.0767373
138.487,-0.076682
138.592,-0.0767467
138.697,-0.0767443
138.802,-0.0767667
138.907,-0.076809
139.012,-0.0767839
139.117,-0.0768714
139.222,-0.0769759
139.327,-0.0769776
139.432,-0.0769814
139.537,-0.0769751
139.642,-0.0770385
139.747,-0.0769205
139.852,-0.0768652
139.957,-0.0768414
140.062,-0.0768175
140.167,-0.0769277
140.272,-0.0768915
140.377,-0.0768548
140.482,-0.0769421
140.587,-0.0770189
140.692,-0.0770403
140.797,-0.0771283
140.902,-0.0772638
141.007,-0.0772578
141.112,-0.0773064
141.217,-0.0772904
141.322,-0.0772389
141.427,-0.0772513
141.532,-0.0773336
141.637,-0.0774674
141.742,-0.0774783
141.847,-0.0774425
141.952,-0.0774648
142.057,-0.0774614
142.162,-0.0775145
142.267,-0.0773884
142.372,-0.0773482
142.477,-0.0773574
142.582,-0.0773748
142.687,-0.0772671
142.792,-0.0773792
142.897,-0.0773593
143.002,-0.0774657
143.107,-0.0774515
143.212,-0.0775101
143.317,-0.0775571
143.422,-0.0776582
