time;roll;pitch;yaw;alt
 8.40844E+01; 1.24804E-03; 7.08994E-02; 2.54027E+00; 1.10903E+02
 8.41844E+01; 1.22005E-03; 7.06481E-02; 2.53982E+00; 1.10903E+02
 8.42844E+01; 1.23347E-03; 7.03847E-02; 2.53934E+00; 1.10903E+02
 8.43844E+01; 1.18496E-03; 7.00129E-02; 2.53887E+00; 1.10903E+02
 8.44844E+01; 1.05731E-03; 6.96045E-02; 2.53843E+00; 1.10903E+02
 8.45844E+01; 9.38428E-04; 6.97442E-02; 2.53805E+00; 1.10903E+02
 8.46844E+01; 8.41372E-04; 7.01066E-02; 2.53786E+00; 1.10903E+02
 8.47844E+01; 7.82603E-04; 7.07139E-02; 2.53767E+00; 1.10903E+02
 8.48844E+01; 7.40214E-04; 7.15849E-02; 2.53750E+00; 1.10903E+02
 8.49844E+01; 6.39366E-04; 7.17064E-02; 2.53732E+00; 1.10903E+02
 8.50844E+01; 5.03163E-04; 7.13713E-02; 2.53703E+00; 1.10903E+02
 8.51844E+01; 4.16765E-04; 7.11915E-02; 2.53674E+00; 1.10903E+02
 8.52844E+01; 3.90170E-04; 7.12062E-02; 2.53652E+00; 1.10903E+02
 8.53844E+01; 3.44020E-04; 7.09467E-02; 2.53618E+00; 1.10903E+02
 8.54844E+01; 3.02422E-04; 7.06886E-02; 2.53583E+00; 1.10903E+02
 8.55844E+01; 2.76403E-04; 7.07060E-02; 2.53549E+00; 1.10903E+02
 8.56844E+01; 2.64932E-04; 7.09703E-02; 2.53498E+00; 1.10903E+02
 8.57844E+01; 1.65126E-04; 7.12863E-02; 2.53458E+00; 1.10903E+02
 8.58844E+01;-3.96898E-05; 7.17458E-02; 2.53432E+00; 1.10903E+02
 8.59844E+01; 5.27013E-04; 7.48713E-02; 2.53409E+00; 1.10903E+02
 8.60844E+01; 1.95577E-03; 8.40653E-02; 2.53349E+00; 1.10903E+02
 8.61844E+01; 2.56038E-03; 7.84051E-02; 2.53204E+00; 1.10903E+02
 8.62844E+01; 1.91690E-03; 6.94513E-02; 2.53112E+00; 1.10903E+02
 8.63844E+01; 1.84221E-03; 7.81693E-02; 2.53104E+00; 1.10903E+02
 8.64844E+01; 2.57494E-03; 9.55715E-02; 2.53111E+00; 1.10903E+02
 8.65844E+01; 3.19615E-03; 9.42784E-02; 2.53088E+00; 1.10903E+02
 8.66844E+01; 3.72363E-03; 8.38045E-02; 2.53017E+00; 1.10903E+02
 8.67844E+01; 3.98214E-03; 7.74031E-02; 2.52981E+00; 1.10903E+02
 8.68844E+01; 4.06783E-03; 7.34474E-02; 2.52970E+00; 1.10903E+02
 8.69844E+01; 3.88213E-03; 7.42050E-02; 2.52958E+00; 1.10903E+02
 8.70844E+01; 3.38932E-03; 7.72564E-02; 2.52952E+00; 1.10903E+02
 8.71844E+01; 3.19822E-03; 7.74869E-02; 2.52945E+00; 1.10903E+02
 8.72844E+01; 3.26970E-03; 7.59433E-02; 2.52917E+00; 1.10903E+02
