#time, GyrZ[]
481.167,-0.369111
481.187,-0.39457
481.208,-0.415289
481.227,-0.441435
481.247,-0.461536
481.267,-0.482687
481.287,-0.500626
481.307,-0.521507
481.327,-0.545497
481.347,-0.586103
481.367,-0.621732
481.387,-0.647562
481.408,-0.669315
481.427,-0.686257
481.446,-0.700239
481.467,-0.715713
481.487,-0.740818
481.506,-0.7583
481.527,-0.758608
481.546,-0.737836
481.567,-0.706118
481.587,-0.666619
481.608,-0.646099
481.627,-0.634294
481.647,-0.615524
481.667,-0.580325
481.687,-0.558867
481.706,-0.547079
481.727,-0.53854
481.747,-0.537713
481.767,-0.537322
481.787,-0.536877
481.808,-0.541447
481.827,-0.561244
481.846,-0.588468
481.867,-0.606641
481.887,-0.622378
481.907,-0.63257
481.927,-0.640275
481.946,-0.650353
481.967,-0.65579
481.987,-0.650349
482.008,-0.648774
482.027,-0.652196
482.047,-0.656837
482.067,-0.658829
482.087,-0.658761
482.106,-0.654325
482.127,-0.645852
482.146,-0.635458
482.167,-0.623831
482.187,-0.591019
482.208,-0.55493
482.227,-0.528585
482.247,-0.502508
482.267,-0.486814
482.287,-0.465817
482.306,-0.439259
482.327,-0.426108
482.347,-0.417325
482.367,-0.413568
482.387,-0.420233
482.408,-0.425587
482.427,-0.433779
482.447,-0.440009
482.467,-0.430058
482.487,-0.428561
482.507,-0.424798
482.527,-0.419071
482.547,-0.422169
482.567,-0.43794
482.587,-0.433125
482.608,-0.416819
482.627,-0.401875
482.647,-0.390716
482.667,-0.374457
482.687,-0.363004
482.707,-0.341763
482.727,-0.319881
482.747,-0.294062
482.767,-0.277247
482.787,-0.266683
482.808,-0.253258
482.827,-0.23853
482.847,-0.231941
482.867,-0.227619
482.887,-0.216864
482.907,-0.224341
482.927,-0.237679
482.947,-0.266488
482.967,-0.285984
482.987,-0.298458
483.008,-0.301339
483.027,-0.304824
483.047,-0.305919
483.067,-0.323365
483.087,-0.354353
483.107,-0.410942
483.127,-0.46087
483.147,-0.518067
483.167,-0.562315
483.187,-0.582689
483.208,-0.579571
483.227,-0.574718
483.247,-0.567613
483.267,-0.570143
483.287,-0.584938
483.307,-0.571718
483.327,-0.563141
483.347,-0.562323
483.367,-0.556179
483.387,-0.518709
483.408,-0.49499
483.427,-0.47091
483.447,-0.446875
483.467,-0.421495
483.486,-0.397205
483.507,-0.373766
483.527,-0.337772
483.547,-0.29518
483.567,-0.276658
483.587,-0.261653
483.608,-0.255141
483.627,-0.245384
483.647,-0.238844
483.667,-0.23206
483.687,-0.2227
483.707,-0.219646
483.727,-0.230078
483.746,-0.236494
483.767,-0.26085
483.787,-0.290806
483.808,-0.315183
483.827,-0.336413
483.846,-0.350073
483.867,-0.357227
483.887,-0.355651
483.907,-0.348439
483.927,-0.344959
483.946,-0.345409
483.967,-0.340553
483.987,-0.33512
484.008,-0.330562
484.027,-0.327542
484.047,-0.322736
484.067,-0.312572
484.087,-0.301389
484.107,-0.286598
484.127,-0.27641
484.147,-0.258919
484.167,-0.243077
484.187,-0.22806
484.208,-0.201588
484.227,-0.18466
484.246,-0.159607
484.267,-0.131885
484.287,-0.108124
484.307,-0.0809768
484.327,-0.0619167
484.347,-0.0458478
484.367,-0.025425
484.387,0.000374187
484.408,0.0220941
484.427,0.035289
484.447,0.0646113
484.467,0.0889025
484.487,0.105257
484.507,0.0376146
484.527,-1.77106
484.547,-2.67036
484.567,-1.15157
484.587,-0.787673
484.608,-0.515571
484.627,-0.538352
484.647,-0.530894
484.667,-0.496748
484.687,-0.108887
484.707,0.192052
484.727,-0.190902
484.747,-0.231792
484.767,-0.165533
484.787,-0.252837
484.808,-0.329988
484.827,-0.452623
484.847,-0.366799
484.867,-0.280071
484.887,-0.18292
484.907,-0.114031
484.927,-0.0939265
484.947,-0.0433084
484.967,-0.00541106
484.987,0.0163412
485.008,-0.0275766
485.027,-0.11447
485.046,-0.1659
485.067,-0.208354
485.087,-0.223208
485.106,-0.189338
485.127,-0.0982673
485.147,-0.0388489
485.167,-0.00961556
485.187,0.0238064
485.208,0.0181031
485.227,0.0114131
485.246,0.00260501
485.267,0.012708
485.287,0.0324565
485.307,0.0643217
485.327,0.100516
485.347,0.0605181
485.367,0.037228
485.387,0.00647959
485.408,-0.0140711
485.427,-0.00896554
485.447,-0.00184572
485.467,-0.00965388
485.487,-0.00792375
485.506,0.00506468
485.527,0.0193748
485.547,0.0197788
485.567,0.0179163
485.587,0.029017
485.608,0.051857
485.627,0.0447722
485.647,-0.00032687
485.667,0.00245886
485.687,0.000460688
485.707,-0.0666161
485.727,-0.12055
485.747,-0.14248
485.767,-0.229847
485.787,-0.268261
485.808,-0.27229
485.827,-0.269691
485.847,-0.294915
485.867,-0.308835
485.886,-0.330091
485.907,-0.283404
485.927,-0.239151
485.947,-0.204321
485.967,-0.162371
485.987,-0.108117
486.008,-0.0484728
486.027,0.024945
486.047,0.0765356
486.067,0.0750356
486.087,-0.0386557
486.107,-0.168326
486.127,-0.34459
486.147,-0.464866
486.167,-0.460815
486.187,-0.426593
486.208,-0.39656
486.227,-0.0673774
486.247,0.365454
486.267,0.663602
486.287,0.812409
486.307,0.829831
486.327,0.812342
486.347,0.789834
486.367,0.71579
486.387,0.583689
486.408,0.351025
486.427,-0.00838165
486.447,-0.297828
486.467,-0.414712
486.487,-0.27686
486.506,-0.100139
486.527,0.00084654
486.547,0.0110514
486.567,0.00206498
486.587,0.00339505
486.608,0.0242346
486.627,0.0246968
486.647,0.019481
486.667,0.0241813
486.687,0.0239186
486.707,0.0104428
486.727,-0.0261514
486.747,-0.0176348
486.767,0.000827128
486.787,0.0111196
486.808,0.0128725
486.827,0.00397861
486.847,-0.00896181
486.867,0.0306166
486.886,0.090073
486.907,0.118224
486.927,0.0966651
486.946,0.0729172
486.967,0.0782417
486.987,0.0918918
487.008,0.0813818
487.027,0.0725678
487.047,0.102003
487.067,0.118621
487.086,0.16041
487.107,0.181153
487.127,0.160426
487.146,0.0561173
487.167,-0.0786635
487.187,-0.192846
487.208,-0.17953
487.227,-0.129221
487.247,-0.107604
487.267,-0.151274
487.287,-0.123562
487.307,-0.101366
487.327,-0.0934202
487.347,-0.069572
487.367,-0.0556448
487.387,-0.0868546
487.408,-0.103545
487.427,-0.098251
487.447,-0.0993884
487.467,-0.0962822
487.487,-0.0749056
487.507,-0.0530385
487.527,-0.0295141
487.546,-0.0521666
487.567,-0.0448197
487.587,-0.0285233
487.608,-0.0076738
487.627,0.00496719
487.647,0.0017631
487.667,-0.00212114
487.687,-0.00625881
487.707,-0.00355572
487.727,-0.0107507
487.747,-0.0175445
487.767,-0.0167495
487.787,-0.0146379
487.808,-0.0207048
487.827,-0.0341821
487.847,-0.0402638
487.867,-0.0353673
487.887,-0.0284724
487.907,-0.010839
487.927,-0.00478589
487.947,-0.015675
487.967,-0.0233828
487.987,-0.0313613
488.008,-0.0351973
488.027,-0.0260127
488.047,-0.015301
488.067,-0.014659
488.087,-0.0182456
488.107,-0.0197851
488.127,-0.012164
488.147,-0.0165034
488.167,-0.0196877
488.187,-0.0158326
488.208,-0.0111022
488.227,-0.0127461
488.247,-0.0154289
488.267,-0.00819354
488.287,-0.0160449
488.307,-0.0145888
488.327,-0.0110929
488.347,-0.0183805
488.367,-0.010331
488.387,-0.0114063
488.408,-0.00839061
488.427,-0.00274382
488.447,-0.000727656
488.467,-0.00357704
488.487,-0.00730675
488.507,-0.00686118
488.527,-0.00793354
488.547,-0.00886879
488.567,-0.00627597
488.587,-0.00828537
488.608,-0.00935123
488.627,-0.0176892
488.646,-0.0131718
488.667,-0.0118502
488.686,-0.0103856
488.707,-0.0102661
488.727,-0.0134807
488.746,-0.0122438
488.767,-0.0176337
488.787,-0.0125003
488.808,-0.00776027
488.827,-0.0106325
488.847,-0.0143413
488.867,-0.013474
488.887,-0.011543
488.907,-0.0147436
488.927,-0.013014
488.947,-0.00685762
488.967,-0.0143113
488.987,-0.0203842
489.008,-0.0149187
489.027,-0.0131979
489.047,-0.0139079
489.067,-0.0128312
489.086,-0.0188741
489.107,-0.0164454
489.127,-0.0129681
489.147,-0.014309
489.167,-0.0168816
489.187,-0.0152157
489.208,-0.0161088
489.227,-0.0100762
489.247,-0.00982017
489.267,-0.0133238
489.286,-0.0107129
489.307,-0.0135103
489.327,-0.0100107
489.347,-0.00695527
489.367,-0.00936198
489.387,-0.00842304
489.408,-0.013299
489.427,-0.0135721
489.447,-0.0199965
489.467,-0.0233259
489.487,-0.0147748
489.507,-0.0226285
489.527,-0.0204309
489.547,-0.015821
489.567,-0.0144096
489.587,-0.0118238
489.608,-0.00761755
489.627,-0.0119629
489.647,-0.0134351
489.667,-0.00675073
489.687,-0.0154601
489.707,-0.0147235
489.727,-0.0142585
489.747,-0.00912528
489.767,-0.0153089
489.787,-0.0150836
489.808,-0.0123445
489.827,-0.00889903
489.847,-0.0107383
489.867,-0.00706112
489.887,-0.0088887
489.907,-0.0131859
489.927,-0.0109534
489.947,-0.00850622
489.967,-0.0108814
489.987,-0.011996
490.008,-0.0106696
490.027,-0.00925217
490.047,-0.00665111
490.067,-0.0119614
490.087,-0.0159853
490.106,-0.0157487
490.127,-0.0181063
490.147,-0.0125847
490.167,-0.00670805
490.187,-0.0111604
490.208,-0.00557272
490.227,-0.00654424
490.247,-0.0089767
490.267,-0.0130661
490.287,-0.0156981
490.307,-0.00957003
490.327,-0.0131603
490.347,-0.0125877
490.367,-0.0101236
490.387,-0.0105482
490.408,-0.0129873
490.427,-0.0140827
490.447,-0.0128844
490.467,-0.011922
490.487,-0.0165418
490.507,-0.0127829
490.527,-0.0107092
490.547,-0.0117901
490.567,-0.0116143
490.587,-0.0141661
490.608,-0.0153227
490.627,-0.0100912
490.647,-0.0113032
490.667,-0.0153832
490.686,-0.0130669
490.707,-0.00916536
490.727,-0.0141018
490.747,-0.0133983
490.767,-0.00830766
490.787,-0.00841854
490.808,-0.0110925
490.827,-0.0135294
490.847,-0.0118197
490.867,-0.0145158
490.887,-0.0116222
490.907,-0.0117207
490.927,-0.00993077
490.947,-0.0157188
490.967,-0.00783665
490.987,-0.00971928
491.008,-0.0150041
491.027,-0.0129178
491.047,-0.0112055
491.067,-0.013184
491.087,-0.0160564
491.107,-0.0132942
491.127,-0.0139527
491.147,-0.0162252
491.167,-0.00988309
491.187,-0.00577156
491.208,-0.0064619
491.227,-0.0134083
491.247,-0.00971493
491.267,-0.0101131
491.287,-0.0115171
491.307,-0.0116522
491.327,-0.0175002
491.347,-0.0169766
491.367,-0.00852044
491.387,-0.00913327
