time;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;Press;Temp;Alt;Lat;Lng;NSats;Spd
350.366800;-2.098104;0.271506;-9.567693;0.007745;0.098152;-0.011154;95820.439600;0.510000;5.530000;48.066500;11.644500;13.000000;0.076213
350.386800;-2.097202;0.256770;-9.440604;0.005634;0.097395;-0.011627;95823.779600;0.510000;5.530000;48.066500;11.644500;13.000000;0.071588
350.406800;-2.011709;0.260015;-9.459477;0.004459;0.096112;-0.013841;95827.119600;0.510000;5.530000;48.066500;11.644500;13.000000;0.066972
350.426800;-2.037332;0.288170;-9.423090;0.002794;0.095298;-0.012988;95830.459600;0.510000;5.530000;48.066500;11.644500;13.000000;0.062357
350.446800;-2.098109;0.332163;-9.597901;0.008755;0.100248;-0.014592;95833.799600;0.510000;5.530000;48.066500;11.644500;13.000000;0.057741
350.466800;-2.147963;0.286268;-9.525064;0.002450;0.107507;-0.012616;95831.819200;0.510000;5.530000;48.066500;11.644500;13.000000;0.053125
350.486800;-2.118142;0.341548;-9.610715;0.002006;0.101995;-0.010605;95829.499200;0.510000;5.530000;48.066500;11.644500;13.000000;0.048509
350.506800;-2.061199;0.257002;-9.422334;0.007143;0.090370;-0.009734;95827.179200;0.510000;5.530000;48.066500;11.644500;13.000000;0.043893
350.526800;-2.073213;0.249107;-9.408728;0.003776;0.100003;-0.010613;95824.859200;0.510000;5.530000;48.066500;11.644500;13.000000;0.039278
350.546800;-2.012413;0.258558;-9.495937;0.008042;0.095660;-0.003947;95822.539200;0.510000;5.530000;48.066500;11.644500;13.000000;0.034662
350.566800;-2.172300;0.288867;-9.450143;-0.000132;0.103270;-0.007702;95824.073200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030046
350.586800;-2.085298;0.308859;-9.483684;0.005905;0.102359;-0.008336;95825.853200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030161
350.606800;-2.110487;0.337687;-9.463100;0.005076;0.101863;-0.008100;95827.633200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030323
350.626800;-2.026173;0.296974;-9.482862;0.006815;0.102320;-0.016570;95829.413200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030485
350.646800;-2.087670;0.220927;-9.451548;0.009593;0.095312;-0.012519;95831.193200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030647
350.666800;-2.051521;0.188366;-9.353715;0.007885;0.095631;-0.013903;95830.247200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030810
350.686800;-2.079256;0.371803;-9.458927;0.005087;0.096185;-0.008686;95829.127200;0.510000;5.530000;48.066500;11.644500;13.000000;0.030972
350.706800;-2.073352;0.272250;-9.495074;0.004668;0.099747;-0.008215;95828.007200;0.510000;5.530000;48.066500;11.644500;13.000000;0.031134
350.726800;-2.095152;0.274880;-9.557922;0.006011;0.098984;-0.010821;95826.887200;0.510000;5.530000;48.066500;11.644500;13.000000;0.031297
350.746800;-2.101449;0.324908;-9.514307;0.005380;0.096968;-0.009714;95825.767200;0.510000;5.530000;48.066500;11.644500;13.000000;0.031459
350.766800;-2.059871;0.237254;-9.451035;0.007200;0.100324;-0.009470;95825.377172;0.510000;5.530000;48.066500;11.644500;13.000000;0.031621
350.786800;-1.999833;0.253742;-9.452936;0.007705;0.106859;-0.011804;95825.033737;0.510000;5.530000;48.066500;11.644500;13.000000;0.033442
350.806800;-2.067096;0.288491;-9.479598;0.009746;0.090921;-0.011565;95824.690303;0.510000;5.530000;48.066500;11.644500;13.000000;0.035280
350.826800;-2.160791;0.228759;-9.505115;0.004377;0.091561;-0.008687;95824.346869;0.510000;5.530000;48.066500;11.644500;13.000000;0.037118
350.846800;-2.103637;0.244474;-9.486273;0.009404;0.091913;-0.012537;95824.003434;0.510000;5.530000;48.066500;11.644500;13.000000;0.038955
350.866800;-2.069826;0.258466;-9.470933;0.004317;0.095132;-0.008019;95823.921584;0.510000;5.530000;48.066500;11.644500;13.000000;0.040793
350.886800;-2.067510;0.314331;-9.499648;0.002917;0.103417;-0.007748;95823.842376;0.510000;5.530000;48.066500;11.644500;13.000000;0.042631
350.906800;-2.117272;0.337704;-9.475858;0.001803;0.092978;-0.012796;95823.763168;0.510000;5.530000;48.066500;11.644500;13.000000;0.044468
350.926800;-2.038362;0.242159;-9.434149;0.006289;0.089455;-0.009890;95823.683960;0.510000;5.530000;48.066500;11.644500;13.000000;0.046306
350.946800;-2.070725;0.335406;-9.450709;0.009798;0.094630;-0.009950;95823.604752;0.510000;5.530000;48.066500;11.644500;13.000000;0.048144
350.966800;-2.108799;0.234683;-9.446851;0.000012;0.101986;-0.012683;95822.848000;0.510000;5.530000;48.066500;11.644500;13.000000;0.049982
350.986800;-2.123945;0.277595;-9.443416;0.006351;0.096544;-0.009961;95822.048000;0.510000;5.530000;48.066500;11.644500;13.000000;0.047850
351.006800;-2.059921;0.265875;-9.398921;0.003778;0.096716;-0.009296;95821.248000;0.510000;5.530000;48.066500;11.644500;13.000000;0.045679
