#time, GyrY[]
350.107,0.096802
350.127,0.100197
350.147,0.0964243
350.167,0.0948785
350.188,0.0943628
350.206,0.0958279
350.227,0.105269
350.247,0.0959786
350.267,0.0957641
350.287,0.0960959
350.306,0.0993953
350.327,0.0968801
350.347,0.100691
350.367,0.098126
350.388,0.0973503
350.407,0.0960989
350.427,0.09529
350.447,0.100298
350.467,0.10758
350.486,0.10246
350.507,0.0902542
350.527,0.100101
350.548,0.0953909
350.567,0.103354
350.588,0.102299
350.606,0.101845
350.627,0.102325
350.647,0.0952416
350.667,0.0956345
350.687,0.096191
350.706,0.0997772
350.727,0.0989766
350.747,0.0969481
350.767,0.100358
350.788,0.107253
350.807,0.0907476
350.827,0.0915688
350.847,0.0919168
350.867,0.0951642
350.886,0.103835
350.907,0.0928732
350.927,0.0894208
350.947,0.0946823
350.967,0.10206
350.988,0.0962101
351.007,0.0967218
351.027,0.102352
351.047,0.0950191
351.067,0.0934768
351.087,0.0975353
351.107,0.102586
351.127,0.0968125
351.147,0.0882748
351.167,0.093287
351.188,0.0966063
351.207,0.100102
351.227,0.101515
351.247,0.096056
351.267,0.100597
351.287,0.101806
351.307,0.100356
351.327,0.102762
351.347,0.0998248
351.367,0.101621
351.388,0.0928192
351.407,0.0951307
351.427,0.104115
351.447,0.100331
351.467,0.104532
351.487,0.0967638
351.506,0.0897722
351.527,0.101579
351.547,0.103524
351.567,0.0979063
351.586,0.102183
351.608,0.0997044
351.627,0.097263
351.647,0.0920304
351.667,0.0953408
351.687,0.0964961
351.707,0.0982932
351.727,0.0986739
351.747,0.103665
351.767,0.100045
351.788,0.0973974
351.806,0.101626
351.827,0.106722
351.847,0.107358
351.867,0.102287
351.887,0.104301
351.906,0.0989724
351.927,0.0985313
351.947,0.0997957
351.967,0.0950687
351.988,0.0980737
352.007,0.103674
352.027,0.0992782
352.047,0.088211
352.067,0.0941741
352.087,0.102437
352.107,0.0989226
352.127,0.0954952
352.147,0.0929744
352.167,0.100097
352.188,0.100559
352.207,0.0926628
352.227,0.0955431
352.247,0.0895714
352.267,0.0939137
352.287,0.0994742
352.307,0.0968837
352.327,0.0943556
352.347,0.0948373
352.367,0.0972416
352.388,0.09532
352.407,0.0999368
352.427,0.0967155
