#time, Roll[]
303.267,0
303.307,0
303.349,0
303.389,0
303.427,0
303.467,0
303.507,0
303.548,0
303.589,0
303.627,0
303.667,0
303.707,0
303.748,0
303.788,0
303.827,0
303.867,0
303.907,0
303.948,0
303.988,0
304.027,0
304.067,0
304.107,0
304.148,0
304.188,0
304.228,0
304.267,0
304.307,0
304.349,0
304.389,0
304.428,0
304.467,0
304.507,0
304.548,0
304.589,0
304.628,0
304.667,0
304.707,0
304.748,0
304.788,0
304.828,0
304.867,0
304.907,0
304.948,0
304.988,0
305.028,0
305.067,0
305.107,0
305.148,0
305.188,0
305.228,0
305.267,0
305.307,0
305.348,0
305.388,0
305.428,0
305.467,0
305.507,0
305.548,0
305.589,0
305.628,0
305.667,0
305.707,0
305.748,0
305.788,0
305.828,0
305.867,0
305.907,0
305.948,0
305.988,0
306.027,0
306.067,0
306.107,0
306.148,0
306.188,0
306.228,0
306.267,0
306.307,0
306.349,0
306.389,0
306.428,0
306.467,0
306.507,0
306.548,0
306.589,0
306.627,0
306.667,0
306.707,0
306.748,0
306.788,0
306.827,0
306.868,0
306.907,0
306.948,0
306.988,0
307.027,0
307.067,0
307.107,0
307.148,0
307.189,0
307.227,0
307.267,0
307.307,0
307.348,0
307.389,0
307.427,0
307.467,0
307.507,0
307.548,0
307.588,0
307.627,0
307.667,0
307.707,0
307.748,0
307.788,0
307.827,0
307.867,0
307.907,0
307.948,0
307.989,0
308.027,0
308.067,0
308.107,0
308.148,0
308.189,0
308.227,0
308.267,0
308.307,0
308.35,0
308.389,0
308.427,0
308.468,0
308.507,0
308.548,0
308.588,0
308.627,0
308.668,0
308.707,0
308.748,0
308.788,0
308.827,0
308.868,0
308.907,0
308.948,0
308.988,0
309.027,0
309.067,0
309.107,0
309.148,0
309.189,0
309.227,0
309.267,0
309.307,0
309.348,0
309.389,0
309.427,0
309.468,0
309.507,0
309.548,0
309.588,0
309.627,0
309.668,0
309.707,0
309.748,0
309.788,0
309.827,0
309.867,0
309.907,0
309.948,0
309.988,0
310.027,0
310.067,0
310.107,0
310.148,0
310.189,0
310.227,0
310.267,0
310.307,0
310.348,0
310.389,0
310.427,0
310.467,0
310.507,0
310.548,0
310.588,0
310.627,0
310.667,0
310.707,0
310.748,0
310.788,0
310.827,0
310.867,0
310.907,0
310.948,0
310.988,0
311.027,0
311.067,0
311.107,0
311.148,0
311.189,0
311.227,0
311.267,0
311.307,0
311.348,0
311.389,0
311.427,0
311.467,0
311.507,0
311.548,0
311.589,0
311.627,0
311.667,0
311.707,0
311.748,0
311.789,0
311.827,0
311.867,0
311.907,0
311.948,0
311.989,0
312.027,0
312.067,0
312.107,0
312.148,0
312.189,0
312.227,0
312.267,0
312.307,0
312.348,0
312.389,0
312.427,0
312.467,0
312.507,0
312.548,0
312.589,0
312.627,0
312.667,0
312.707,0
312.748,0
312.789,0
312.827,0
312.867,0
312.907,0
312.948,0
312.988,0
313.027,0
313.067,0
313.107,0
313.148,0
313.189,0
313.228,0
313.267,0
313.308,0
313.348,0
313.389,0
313.427,0
313.467,0
313.508,0
313.548,0
313.588,0
313.627,0
313.667,0
313.708,0
313.748,0
313.788,0
313.828,0
313.867,0
313.907,0
313.948,0
313.988,0
314.027,0
314.067,0
314.107,0
314.148,0
314.188,0
314.228,0
314.267,0
314.307,0
314.348,0
314.389,0
314.427,0
314.467,0
314.507,0
314.548,0
314.588,0
314.627,0
314.667,0
314.707,0
314.748,0
314.788,0
314.828,0
314.867,0
314.907,0
314.948,0
314.988,0
315.027,0
315.067,0
315.107,0
315.148,0
315.188,0
315.228,0
315.267,0
315.307,0
315.349,0
315.389,0
315.427,0
315.467,0
315.507,0
315.548,0
315.588,0
315.627,0
315.667,0
315.707,0
315.748,0
315.788,0
315.827,0
315.867,0
315.907,0
315.948,0
315.988,0
316.027,0
316.067,0
316.107,0
316.148,0
316.188,0
316.227,0
316.267,0
316.307,0
316.349,0
316.389,0
316.427,0
316.467,0
316.507,0
316.548,0
316.589,0
316.627,0
316.667,0
316.707,0
316.748,0
316.788,0
316.828,0
316.867,0
316.907,0
316.948,0
316.989,0
317.027,0
317.067,0
317.107,0
317.148,0
317.188,0
317.227,0
317.267,0
317.307,0
317.348,0
317.389,0
317.427,0
317.467,0
317.507,0
317.548,0
317.588,0
317.627,0
317.667,0
317.707,0
317.748,0
317.789,0
317.827,0
317.867,0
317.907,0
317.948,0
317.988,0
318.027,0
318.067,0
318.107,0
318.148,0
318.189,0
318.227,0
318.267,0
318.307,0
318.351,0
318.389,0
318.427,0
318.467,0
318.507,0
318.548,0
318.588,0
318.627,0
318.667,0
318.707,0
318.748,0
318.788,0
318.828,0
318.867,0
318.907,0
318.948,0
318.988,0
319.027,0
319.067,0
319.107,0
319.148,0
319.188,0
319.227,0
319.267,0
319.307,0
319.349,0
319.389,0
319.427,0
319.467,0
319.507,0
319.548,0
319.588,0
319.627,0
319.667,0
319.707,0
319.748,0
319.788,0
319.827,0
319.867,0
319.907,0
319.948,0
319.988,0
320.027,0
320.067,0
320.107,0
320.148,0
320.188,0
320.228,0
320.267,0
320.307,0
320.349,0
320.389,0
320.427,0
320.467,0
320.507,0
320.548,0
320.588,0
320.627,0
320.667,0
320.707,0
320.748,0
320.788,0
320.827,0
320.867,0
320.907,0
320.948,0
320.988,0
321.027,0
321.067,0
321.107,0
321.148,0
321.188,0
321.227,0
321.267,0
321.307,0
321.349,0
321.389,0
321.427,0
321.467,0
321.507,0
321.548,0
321.589,0
321.627,0
321.667,0
321.707,0
321.748,0
321.788,0
321.827,0
321.867,0
321.907,0
321.948,0
321.989,0
322.027,0
322.067,0
322.107,0
322.148,0
322.189,0
322.228,0
322.267,0
322.307,0
322.348,0
322.389,0
322.427,0
322.467,0
322.507,0
322.548,0
322.589,0
322.627,0
322.667,0
322.707,0
322.748,0
322.788,0
322.827,0
322.867,0
322.907,0
322.947,0
322.989,0
323.027,0
323.067,0
323.107,0
323.148,0
323.188,0
323.228,0
323.267,0
323.307,0
323.348,0
323.389,0
323.427,0
323.467,0
323.507,0
323.548,0
323.589,0
323.627,0
323.667,0
323.707,0
323.748,0
323.788,0
323.827,0
323.867,0
323.908,0
323.948,0
323.988,0
324.027,0
324.067,0
324.107,0
324.148,0
324.188,0
324.228,0
324.267,0
324.307,0
324.348,0
324.389,0
324.427,0
324.467,0
324.507,0
324.547,0
324.589,0
324.627,0
324.667,0
324.707,0
324.748,0
324.788,0
324.827,0
324.867,0
324.907,0
324.948,0
324.988,0
325.027,0
325.067,0
325.107,0
325.148,0
325.188,0
325.228,0
325.267,0
325.307,0
325.349,0
325.389,0
325.427,0
325.467,0
325.507,0
325.548,0
325.588,0
325.627,0
325.667,0
325.707,0
325.748,0
325.788,0
325.827,0
325.867,0
325.907,0
325.948,0
325.988,0
326.027,0
326.067,0
326.107,0
326.148,0
326.188,0
326.228,0
326.267,0
326.307,0
326.348,0
326.389,0
326.427,0
326.467,0
326.507,0
326.548,0
326.588,0
326.627,0
326.667,0
326.707,0
326.748,0
326.789,0
326.827,0
326.867,0
326.907,0
326.948,0
326.989,0
327.027,0
327.067,0
327.107,0
327.148,0
327.189,0
327.227,0
327.267,0
327.307,0
327.348,0
327.389,0
327.427,0
327.467,0
327.507,0
327.548,0
327.588,0
327.627,0
327.667,0
327.707,0
327.748,0
327.788,0
327.827,0
327.867,0
327.907,0
327.948,0
327.988,0
328.027,0
328.067,0
328.107,0
328.148,0
328.189,0
328.227,0
328.267,0
328.307,0
328.351,0
328.389,0
328.427,0
328.467,0
328.507,0
328.547,0
328.588,0
328.627,0
328.667,0
328.707,0
328.747,0
328.788,0
328.827,0
328.867,0
328.907,0
328.948,0
328.988,0
329.028,0
329.067,0
