#time, AccX[]
43.0658,-2.29763
43.0861,-2.34083
43.1058,-2.3445
43.1257,-2.31295
43.1458,-2.26988
43.1657,-2.26096
43.1858,-2.32629
43.2057,-2.3154
43.2257,-2.21126
43.2458,-2.25106
43.2659,-2.34508
43.286,-2.29922
43.3057,-2.25793
43.3258,-2.29615
43.3458,-2.28421
43.3658,-2.31315
43.3859,-2.31583
43.4058,-2.32737
43.4257,-2.34263
43.4458,-2.23209
43.4659,-2.3567
43.4864,-2.31351
43.5057,-2.27828
43.5257,-2.25044
43.5459,-2.29166
43.5658,-2.3834
43.586,-2.31465
43.6057,-2.26354
43.6258,-2.38032
43.6458,-2.28809
43.6657,-2.20294
43.6863,-2.33696
43.7058,-2.27099
43.7258,-2.37702
43.7458,-2.31844
43.7659,-2.16751
43.7858,-2.32294
43.8058,-2.3788
43.8257,-2.24459
43.8458,-2.26406
43.8658,-2.34151
43.886,-2.3281
43.9058,-2.31021
43.9257,-2.26101
43.9457,-2.29358
43.9659,-2.18983
43.9858,-2.22582
44.0058,-2.27276
